chrom,start,end,build_region_index,peak_h1:ezh2
chr7,85166000,85167000,1806988,False
chr11,6283000,6284000,291980,False
chr6,133494000,133495000,1714581,False
chr20,29942000,29943000,1119931,False
chr17,78065000,78066000,812937,False
chr12,24267000,24268000,404346,False
chr2,144823000,144824000,1022874,False
chr3,15577000,15578000,1217176,False
chr8,28516000,28517000,1885763,False
chr3,15319000,15320000,1216940,False
chr4,82392000,82393000,1408267,False
chr1,15917000,15918000,12971,False
chr1,92549000,92550000,76905,False
chr5,158910000,158911000,1598420,False
chr7,29194000,29195000,1768643,True
chr10,127612000,127613000,282291,False
chr17,35937000,35938000,776958,False
chr4,165472000,165473000,1465263,False
chr3,14673000,14674000,1216370,False
chr10,2434000,2435000,186021,False
chr22,47748000,47749000,1202782,False
chr16,425000,426000,690952,True
chr16,47171000,47172000,716896,False
chr4,34280000,34281000,1377942,False
chr15,92827000,92828000,683296,False
chr17,46267000,46268000,785717,True
chr5,127865000,127866000,1573640,False
chr2,5192000,5193000,922129,False
chr14,52414000,52415000,582701,False
chr19,29574000,29575000,893891,False
chr1,56826000,56827000,48855,False
chr8,115867000,115868000,1948858,False
chr14,93309000,93310000,615214,False
chr3,18796000,18797000,1219896,False
chr2,183482000,183483000,1052456,False
chr2,197471000,197472000,1062440,False
chr7,14714000,14715000,1756700,False
chr3,51428000,51429000,1245214,False
chr2,164873000,164874000,1037475,False
chr10,121302000,121303000,276864,False
chr16,81601000,81602000,743409,False
chr2,143587000,143588000,1021849,False
chr2,24228000,24229000,936906,False
chr9,102697000,102698000,2029432,False
chr3,129606000,129607000,1299544,True
chr1,90280000,90281000,75017,False
chr2,98743000,98744000,990300,False
chr2,218463000,218464000,1078815,False
chr1,48573000,48574000,42019,False
chr14,54968000,54969000,584834,False
chr6,169787000,169788000,1744524,False
chr1,79529000,79530000,66659,False
chr8,30909000,30910000,1887911,False
chr11,22655000,22656000,304905,False
chr4,160981000,160982000,1462569,False
chr3,124282000,124283000,1294824,False
chrX,45660000,45661000,2085641,False
chr9,125461000,125462000,2047543,False
chr21,17699000,17700000,1153227,False
chr3,13664000,13665000,1215497,False
chr3,81271000,81272000,1267722,False
chr8,52564000,52565000,1901700,False
chr2,197890000,197891000,1062777,False
chr20,50784000,50785000,1137650,False
chr4,94705000,94706000,1417083,False
chr1,24929000,24930000,21073,True
chr7,149660000,149661000,1857095,False
chr7,97460000,97461000,1815963,False
chr7,158116000,158117000,1864181,False
chr2,58510000,58511000,964061,False
chr2,96408000,96409000,988582,False
chr16,86920000,86921000,748099,False
chr3,8649000,8650000,1210980,False
chr18,46477000,46478000,847920,False
chr22,49803000,49804000,1204428,False
chr14,34657000,34658000,570819,False
chr11,12316000,12317000,297085,False
chr19,37647000,37648000,900642,False
chr3,182361000,182362000,1340431,False
chr2,55086000,55087000,961662,False
chr16,46698000,46699000,716474,False
chr17,8717000,8718000,758463,False
chr1,3014000,3015000,2077,False
chr10,115155000,115156000,271836,False
chr5,128641000,128642000,1574251,False
chr9,7019000,7020000,1978454,False
chr6,1132000,1133000,1616733,False
chr2,62143000,62144000,967005,False
chr3,9514000,9515000,1211748,False
chr9,133163000,133164000,2054662,True
chr10,126686000,126687000,281548,False
chr9,79163000,79164000,2010427,False
chr1,77803000,77804000,65334,False
chrX,46695000,46696000,2086315,False
chr9,36450000,36451000,1997916,False
chr10,115597000,115598000,272074,False
chr2,69598000,69599000,973306,False
chr20,61258000,61259000,1146549,False
chr8,41577000,41578000,1895459,True
chr1,70860000,70861000,60554,False
chrX,111206000,111207000,2113005,False
chr11,18267000,18268000,301884,False
chr5,166286000,166287000,1603185,False
chr10,131020000,131021000,284970,False
chr11,107809000,107810000,363128,False
chrX,54399000,54400000,2090508,False
chr20,45387000,45388000,1132634,False
chr5,117941000,117942000,1566133,False
chrX,123575000,123576000,2119404,False
chr6,95271000,95272000,1686802,False
chr8,132002000,132003000,1962346,False
chr8,64626000,64627000,1910664,False
chr16,13029000,13030000,701432,False
chr20,41443000,41444000,1129353,False
chr7,127132000,127133000,1838715,False
chr8,35611000,35612000,1890879,False
chr1,213793000,213794000,154568,False
chr12,98893000,98894000,460113,True
chr13,55775000,55776000,518019,False
chr7,28119000,28120000,1767672,False
chr1,87917000,87918000,73084,False
chr14,22386000,22387000,561880,False
chr6,130210000,130211000,1711924,False
chr2,133253000,133254000,1014571,False
chr11,15404000,15405000,299613,False
chr16,65778000,65779000,730271,False
chr18,7706000,7707000,823438,False
chr11,129069000,129070000,380510,False
chr1,65465000,65466000,56264,False
chr9,80167000,80168000,2011212,False
chr6,140495000,140496000,1720697,False
chr15,85612000,85613000,677371,False
chr3,12609000,12610000,1214505,False
chr3,158801000,158802000,1322772,True
chr14,53947000,53948000,583954,False
chr2,190739000,190740000,1057580,False
chr20,30399000,30400000,1120040,False
chr2,158358000,158359000,1032584,False
chr12,64376000,64377000,433691,False
chr12,47872000,47873000,420319,False
chr5,162139000,162140000,1600727,False
chr14,33566000,33567000,569872,False
chr5,139099000,139100000,1582738,False
chr2,121116000,121117000,1006416,False
chr16,28064000,28065000,712600,False
chr20,56711000,56712000,1142531,False
chr2,234401000,234402000,1091706,False
chr2,231186000,231187000,1088896,False
chr19,51989000,51990000,913054,False
chr10,90608000,90609000,252052,False
chrX,15232000,15233000,2068553,False
chr12,87567000,87568000,450930,False
chr5,53575000,53576000,1518837,False
chr12,70849000,70850000,439351,False
chr4,140804000,140805000,1447953,False
chr11,17414000,17415000,301188,False
chr22,36912000,36913000,1192995,True
chr17,64304000,64305000,800690,False
chr1,195113000,195114000,138612,False
chr1,153682000,153683000,104924,False
chr3,148142000,148143000,1313972,False
chr1,168226000,168227000,117192,False
chr7,95984000,95985000,1814795,False
chr10,16769000,16770000,198022,False
chr10,30676000,30677000,209392,False
chrX,45074000,45075000,2085284,False
chr5,136769000,136770000,1580721,False
chr19,55417000,55418000,915731,False
chr2,186057000,186058000,1053970,False
chr7,84718000,84719000,1806647,False
chr6,123044000,123045000,1706732,False
chr11,77559000,77560000,342145,False
chr2,29016000,29017000,941310,False
chr7,52927000,52928000,1787752,False
chr2,80265000,80266000,981152,False
chr4,77058000,77059000,1404327,False
chr11,90120000,90121000,350821,False
chr12,75628000,75629000,442469,False
chr8,139204000,139205000,1967803,False
chr20,46653000,46654000,1133747,False
chr10,16665000,16666000,197931,False
chr7,16606000,16607000,1758054,False
chr22,32521000,32522000,1189411,False
chr9,18507000,18508000,1985879,False
chr10,118515000,118516000,274440,False
chr8,4795000,4796000,1868321,False
chr2,211588000,211589000,1073450,False
chr5,121875000,121876000,1568740,False
chr19,58177000,58178000,917811,False
chr13,21942000,21943000,491635,False
chr7,72612000,72613000,1797594,False
chr9,41717000,41718000,2000638,False
chr4,5786000,5787000,1358859,False
chr2,10003000,10004000,926050,False
chr1,108007000,108008000,87861,False
chr12,41013000,41014000,414882,False
chr6,127689000,127690000,1709999,False
chr19,46231000,46232000,908018,False
chr12,43823000,43824000,417051,False
chrX,118558000,118559000,2116586,False
chr5,158692000,158693000,1598232,False
chr20,63974000,63975000,1149085,False
chr11,131066000,131067000,382170,False
chr10,23521000,23522000,203462,False
chr11,23347000,23348000,305320,False
chr7,39429000,39430000,1776974,False
chr3,38778000,38779000,1234546,False
chr3,4751000,4752000,1208330,False
chr1,94012000,94013000,78229,False
chr14,102067000,102068000,622621,False
chr14,97546000,97547000,618818,False
chr1,96527000,96528000,80200,False
chr10,50406000,50407000,221532,False
chr5,155358000,155359000,1595742,False
chr11,62361000,62362000,328635,False
chr16,15559000,15560000,703324,False
chr19,39895000,39896000,902615,False
chr9,37244000,37245000,1998622,False
chr3,20081000,20082000,1220690,False
chr11,103724000,103725000,360355,False
chr2,193514000,193515000,1059604,False
chr1,149846000,149847000,101645,False
chr15,67104000,67105000,661338,False
chr9,122979000,122980000,2045284,False
chr11,130741000,130742000,381927,False
chr4,12754000,12755000,1364034,False
chr21,28731000,28732000,1160097,False
chr13,104668000,104669000,551901,False
chr14,94784000,94785000,616452,False
chrX,100678000,100679000,2107204,False
chr12,91313000,91314000,453779,False
chrX,110775000,110776000,2112787,False
chr2,18670000,18671000,932761,False
chr10,114487000,114488000,271237,False
chr4,87733000,87734000,1412461,False
chr12,111653000,111654000,470862,False
chr4,98663000,98664000,1419521,False
chr5,27764000,27765000,1502671,False
chr4,115827000,115828000,1431725,False
chr11,116786000,116787000,370397,False
chr14,73773000,73774000,600510,False
chr18,21916000,21917000,830262,False
chr18,71687000,71688000,865948,False
chr5,71447000,71448000,1531797,False
chr5,169807000,169808000,1605959,False
chr2,144842000,144843000,1022890,False
chr19,5585000,5586000,877333,False
chr18,8695000,8696000,824252,False
chr22,22720000,22721000,1180794,False
chr3,115651000,115652000,1288333,False
chr1,21813000,21814000,18185,False
chr10,85492000,85493000,247935,True
chr17,30305000,30306000,772218,False
chr6,15844000,15845000,1629780,False
chr7,95635000,95636000,1814534,False
chr11,83704000,83705000,346630,False
chr1,103842000,103843000,85335,False
chr9,90081000,90082000,2019099,False
chr20,50390000,50391000,1137272,False
chr19,55996000,55997000,916199,False
chr2,232516000,232517000,1090059,False
chr2,8219000,8220000,924405,False
chr4,76244000,76245000,1403598,False
chr7,113658000,113659000,1829029,False
chr6,167095000,167096000,1742220,False
chr11,95730000,95731000,354908,False
chr17,78297000,78298000,813153,False
chr2,142525000,142526000,1021053,False
chr9,14124000,14125000,1982488,False
chr4,55408000,55409000,1390788,False
chr5,73654000,73655000,1533745,False
chr3,99782000,99783000,1276521,False
chr4,13537000,13538000,1364544,True
chr4,176190000,176191000,1472303,False
chr20,10340000,10341000,1106995,False
chr20,51742000,51743000,1138556,False
chr10,131195000,131196000,285111,False
chr7,54846000,54847000,1788892,False
chr5,90085000,90086000,1546320,False
chr5,79028000,79029000,1538331,False
chr8,8406000,8407000,1870193,False
chr4,153684000,153685000,1457673,True
chr2,166376000,166377000,1038571,True
chr14,77077000,77078000,603443,False
chr11,71912000,71913000,337013,False
chr8,10009000,10010000,1871577,False
chr6,68176000,68177000,1668675,False
chrX,20730000,20731000,2072492,False
chr8,15769000,15770000,1875469,False
chr13,78618000,78619000,533109,False
chr5,76638000,76639000,1536264,False
chr1,42813000,42814000,36975,False
chr8,24605000,24606000,1882506,False
chr2,229598000,229599000,1087538,False
chr16,65743000,65744000,730239,False
chr2,225124000,225125000,1084321,False
chr2,66341000,66342000,970619,False
chr2,122354000,122355000,1007481,False
chr3,161140000,161141000,1324668,False
chr5,18779000,18780000,1497045,False
chr20,58318000,58319000,1144044,False
chr20,60978000,60979000,1146325,False
chr5,155212000,155213000,1595636,False
chr20,47811000,47812000,1134862,False
chr1,3273000,3274000,2314,False
chr14,105877000,105878000,626114,False
chr16,72614000,72615000,736073,False
chr10,32973000,32974000,211239,False
chr13,31356000,31357000,499241,False
chr19,52991000,52992000,913799,False
chr7,83176000,83177000,1805515,False
chrX,125095000,125096000,2120312,False
chr2,117511000,117512000,1003445,False
chr3,47648000,47649000,1242014,False
chr10,91647000,91648000,252867,False
chr3,193461000,193462000,1349743,False
chr7,12028000,12029000,1754794,False
chr7,148802000,148803000,1856332,False
chr10,74567000,74568000,239579,False
chr10,98060000,98061000,258383,False
chr1,246301000,246302000,182145,False
chr12,45795000,45796000,418545,False
chr3,69433000,69434000,1259660,False
chr5,5416000,5417000,1486582,False
chr12,130812000,130813000,486921,False
chr1,208868000,208869000,150310,False
chr13,67113000,67114000,524847,False
chr4,80301000,80302000,1406810,False
chr1,234042000,234043000,171839,False
chr11,46814000,46815000,321589,False
chr17,68182000,68183000,804208,False
chr10,120877000,120878000,276497,False
chr16,72936000,72937000,736363,False
chr6,156437000,156438000,1733549,False
chr7,1635000,1636000,1746786,False
chr10,101040000,101041000,260854,False
chr1,166884000,166885000,115951,True
chr9,11424000,11425000,1980878,False
chr13,104408000,104409000,551731,False
chr7,7674000,7675000,1751992,False
chr12,24999000,25000000,404978,False
chr6,7382000,7383000,1622348,False
chr2,19288000,19289000,933248,False
chr1,191644000,191645000,136007,False
chr1,199984000,199985000,142281,False
chr17,17201000,17202000,765178,False
chr11,116597000,116598000,370241,False
chr4,58648000,58649000,1393040,False
chr5,165206000,165207000,1602554,False
chr12,124897000,124898000,482528,False
chr14,31420000,31421000,568124,False
chr11,40541000,40542000,317040,False
chr3,38116000,38117000,1233988,False
chr3,145927000,145928000,1312412,False
chr11,121059000,121060000,374165,False
chr15,68705000,68706000,662832,False
chr21,28774000,28775000,1160139,False
chr2,133740000,133741000,1014952,False
chr13,102799000,102800000,550657,True
chr7,120941000,120942000,1834311,False
chr11,10270000,10271000,295279,False
chrX,95155000,95156000,2104886,False
chr1,30691000,30692000,26269,False
chr8,67427000,67428000,1912965,False
chr2,135547000,135548000,1016478,False
chrX,103345000,103346000,2108610,False
chr5,173033000,173034000,1608778,False
chr9,81416000,81417000,2011989,False
chr11,25756000,25757000,306637,False
chr17,17094000,17095000,765076,False
chr7,118408000,118409000,1832757,False
chr6,101129000,101130000,1690472,False
chr1,180005000,180006000,126877,False
chr12,131030000,131031000,487121,False
chr21,36652000,36653000,1166788,False
chr1,29093000,29094000,24886,False
chr12,31569000,31570000,410481,False
chr8,67269000,67270000,1912827,False
chr11,95136000,95137000,354418,False
chr8,64580000,64581000,1910627,True
chr1,28102000,28103000,23978,False
chrX,79407000,79408000,2100056,False
chr6,56377000,56378000,1663387,False
chr7,43538000,43539000,1780391,False
chr8,51841000,51842000,1901103,False
chr3,120023000,120024000,1291361,False
chr10,84636000,84637000,247413,False
chr2,98843000,98844000,990394,False
chr9,135944000,135945000,2057219,False
chr11,11993000,11994000,296782,False
chrX,133287000,133288000,2124290,False
chr17,66480000,66481000,802610,False
chr3,164307000,164308000,1326591,False
chr2,104527000,104528000,994801,False
chr1,194426000,194427000,138168,False
chr3,164324000,164325000,1326600,False
chr10,13282000,13283000,195050,False
chr1,235380000,235381000,173109,False
chr4,68441000,68442000,1398177,False
chr14,73456000,73457000,600237,False
chr22,22360000,22361000,1180499,False
chr1,71236000,71237000,60833,False
chr15,76279000,76280000,669647,False
chr7,135666000,135667000,1846363,False
chr16,11613000,11614000,700158,False
chr5,132407000,132408000,1576902,False
chr16,80157000,80158000,742157,False
chr12,12320000,12321000,395508,False
chr7,29936000,29937000,1769283,False
chr12,108190000,108191000,467678,False
chr10,16181000,16182000,197544,False
chr2,101347000,101348000,992559,False
chr4,182448000,182449000,1476192,True
chr12,57606000,57607000,428878,False
chr11,16854000,16855000,300692,False
chr1,189838000,189839000,134887,False
chr20,589000,590000,1099018,False
chr2,68199000,68200000,972053,False
chrX,105574000,105575000,2109796,False
chr5,32699000,32700000,1506267,False
chr17,45091000,45092000,784670,False
chr19,3673000,3674000,875579,False
chr4,87658000,87659000,1412411,False
chr10,75119000,75120000,240097,False
chr19,44629000,44630000,906578,False
chr4,186400000,186401000,1479583,False
chr7,138238000,138239000,1848305,False
chr8,54339000,54340000,1903156,False
chrX,69035000,69036000,2094777,False
chr20,18225000,18226000,1113039,False
chr1,183036000,183037000,129522,False
chr4,3760000,3761000,1357263,False
chr15,67215000,67216000,661445,False
chr15,20401000,20402000,627124,False
chr6,65587000,65588000,1667295,False
chr6,144616000,144617000,1723958,False
chr2,208034000,208035000,1071102,False
chr16,72905000,72906000,736333,False
chr17,66614000,66615000,802732,False
chr3,170714000,170715000,1331108,False
chr12,103066000,103067000,463320,False
chr1,91486000,91487000,75945,False
chr1,37890000,37891000,32569,False
chr12,65780000,65781000,434945,False
chr2,37775000,37776000,948074,False
chr18,70512000,70513000,865338,False
chr1,87885000,87886000,73056,False
chr22,48624000,48625000,1203441,False
chr1,88910000,88911000,73876,False
chr13,23564000,23565000,492792,False
chr11,36837000,36838000,315063,False
chr18,6611000,6612000,822555,False
chr2,184719000,184720000,1053175,False
chr14,77061000,77062000,603429,False
chr20,57676000,57677000,1143435,False
chr16,21488000,21489000,707408,False
chr16,69400000,69401000,733534,False
chr10,17521000,17522000,198700,False
chr17,79470000,79471000,814248,False
chr4,72000000,72001000,1400441,False
chr16,89364000,89365000,750370,False
chr16,52646000,52647000,721237,False
chr2,137969000,137970000,1018188,False
chr11,57131000,57132000,324495,False
chr14,103727000,103728000,624158,False
chr1,60678000,60679000,52001,False
chr17,38609000,38610000,778843,True
chr8,25678000,25679000,1883372,False
chr5,59628000,59629000,1524009,False
chr7,140984000,140985000,1850798,False
chr3,153975000,153976000,1318875,False
chr1,161942000,161943000,112018,False
chr6,157278000,157279000,1734325,False
chr16,2706000,2707000,693021,False
chr2,9087000,9088000,925200,False
chr2,4670000,4671000,921804,False
chr1,236141000,236142000,173812,True
chr5,22693000,22694000,1499477,False
chr18,10319000,10320000,825722,False
chr22,23356000,23357000,1181368,False
chr8,135617000,135618000,1965378,False
chr4,78974000,78975000,1405873,False
chr20,55541000,55542000,1141696,False
chr14,88602000,88603000,611026,False
chr10,6273000,6274000,189353,False
chr9,132345000,132346000,2053920,False
chr4,53380000,53381000,1389145,False
chr8,53363000,53364000,1902321,False
chr9,123336000,123337000,2045619,False
chr4,160905000,160906000,1462537,False
chr11,111309000,111310000,365911,False
chr7,65052000,65053000,1791693,False
chr6,154689000,154690000,1732155,False
chr6,64025000,64026000,1666453,False
chr1,4655000,4656000,3464,True
chr11,43733000,43734000,318827,False
chr12,69690000,69691000,438380,False
chr10,13707000,13708000,195429,False
chr6,105309000,105310000,1692910,False
chr6,80177000,80178000,1676737,False
chr7,22443000,22444000,1762681,False
chr17,66282000,66283000,802419,False
chr6,50939000,50940000,1659245,False
chr5,32106000,32107000,1505720,False
chr1,109102000,109103000,88672,False
chr11,79698000,79699000,344034,False
chr7,149643000,149644000,1857081,False
chr1,51665000,51666000,44237,False
chr2,114663000,114664000,1002117,False
chr7,63520000,63521000,1790802,False
chr8,35901000,35902000,1891086,False
chr16,25368000,25369000,710583,False
chr2,204043000,204044000,1067854,False
chr1,237915000,237916000,175325,False
chr3,65493000,65494000,1256745,False
chrX,100162000,100163000,2106929,False
chr14,100101000,100102000,620876,False
chr13,71938000,71939000,527867,False
chr16,14042000,14043000,702236,False
chr1,181582000,181583000,128292,False
chr5,174178000,174179000,1609817,False
chrX,149632000,149633000,2131632,False
chr6,31470000,31471000,1642741,False
chr12,83749000,83750000,448539,False
chr20,6312000,6313000,1104023,False
chr5,110289000,110290000,1560573,False
chr11,104824000,104825000,361097,False
chr18,63537000,63538000,861028,False
chr13,22119000,22120000,491777,False
chr8,58645000,58646000,1906438,False
chr2,68803000,68804000,972579,False
chr16,35643000,35644000,716176,False
chr1,180948000,180949000,127729,False
chr5,168737000,168738000,1605046,False
chr16,89201000,89202000,750219,True
chr19,11208000,11209000,882138,False
chr2,153067000,153068000,1029150,False
chr4,91725000,91726000,1415263,False
chr7,155735000,155736000,1862054,False
chr2,209832000,209833000,1072316,False
chr5,176460000,176461000,1611694,False
chr17,3783000,3784000,754183,False
chr18,11824000,11825000,826935,False
chr1,221123000,221124000,160425,False
chrX,128282000,128283000,2121323,False
chr20,52859000,52860000,1139501,False
chr2,164287000,164288000,1037038,False
chr1,212245000,212246000,153218,False
chr18,24283000,24284000,832362,False
chr8,14461000,14462000,1874740,False
chr14,105051000,105052000,625377,False
chr2,100978000,100979000,992209,False
chr13,97353000,97354000,546114,False
chr7,45891000,45892000,1782437,False
chr14,41291000,41292000,575622,False
chr3,161690000,161691000,1325091,False
chr4,153625000,153626000,1457621,False
chr20,9467000,9468000,1106338,False
chr9,136202000,136203000,2057472,True
chr7,41443000,41444000,1778649,False
chr5,28991000,28992000,1503477,False
chr1,216348000,216349000,156546,False
chr18,47695000,47696000,848794,False
chr20,19338000,19339000,1113918,False
chr7,93182000,93183000,1812632,False
chr7,94744000,94745000,1813847,False
chr6,79043000,79044000,1675859,False
chrX,76499000,76500000,2098713,False
chr22,40673000,40674000,1196488,False
chr3,80489000,80490000,1267321,False
chr15,77949000,77950000,671100,False
chr15,31592000,31593000,633065,False
chr3,35602000,35603000,1231960,False
chr11,98702000,98703000,356820,False
chr17,49971000,49972000,788799,True
chr5,131165000,131166000,1575812,True
chr6,3976000,3977000,1619342,False
chr9,125632000,125633000,2047710,False
chr16,5049000,5050000,695124,False
chr9,131991000,131992000,2053586,False
chr4,8213000,8214000,1361061,False
chr8,118688000,118689000,1951179,False
chr4,164771000,164772000,1464693,False
chr5,124841000,124842000,1571170,False
chr7,156740000,156741000,1862917,False
chr2,44930000,44931000,954067,True
chr1,3907000,3908000,2897,False
chr2,222941000,222942000,1082474,False
chr1,231512000,231513000,169592,False
chr7,95552000,95553000,1814468,False
chr17,81873000,81874000,816474,False
chr5,32322000,32323000,1505929,False
chr2,122906000,122907000,1007850,False
chr5,7772000,7773000,1488454,False
chr5,163411000,163412000,1601388,False
chr1,59676000,59677000,51253,False
chr3,138984000,138985000,1306964,False
chr14,30888000,30889000,567628,False
chr10,102410000,102411000,262102,True
chrX,136962000,136963000,2126765,False
chr20,53927000,53928000,1140469,False
chr4,75901000,75902000,1403300,False
chr14,59704000,59705000,588760,False
chr9,80299000,80300000,2011284,False
chr12,51102000,51103000,423230,False
chr2,54900000,54901000,961485,False
chr7,153785000,153786000,1860505,False
chr1,206478000,206479000,148234,False
chr10,16619000,16620000,197892,False
chr6,165485000,165486000,1740820,False
chr21,28897000,28898000,1160249,False
chr19,10091000,10092000,881106,False
chr12,126523000,126524000,483733,False
chr1,175128000,175129000,122908,False
chr16,31985000,31986000,715497,False
chr10,89057000,89058000,250838,False
chr4,77910000,77911000,1404997,False
chrX,129239000,129240000,2121718,False
chr11,67587000,67588000,333275,False
chr12,24896000,24897000,404877,False
chr7,95972000,95973000,1814785,False
chr17,1646000,1647000,752410,False
chr11,92307000,92308000,352101,False
chr18,9891000,9892000,825341,False
chr12,46830000,46831000,419426,True
chr10,103588000,103589000,263186,False
chr3,191658000,191659000,1348463,False
chr15,87660000,87661000,678796,False
chr2,41204000,41205000,950868,False
chr18,45085000,45086000,846752,False
chr6,151683000,151684000,1729848,False
chr3,153982000,153983000,1318881,False
chr3,174108000,174109000,1333973,False
chr14,33747000,33748000,570026,False
chr4,174522000,174523000,1471219,True
chr8,9697000,9698000,1871347,False
chr16,9891000,9892000,698623,False
chr10,45750000,45751000,218413,False
chr15,69207000,69208000,663292,False
chr10,29163000,29164000,208020,False
chr13,44322000,44323000,509450,False
chr5,96672000,96673000,1551376,False
chr9,109396000,109397000,2034399,False
chr12,117076000,117077000,475604,False
chr5,35618000,35619000,1508623,True
chr18,11689000,11690000,826815,True
chr9,72716000,72717000,2005587,False
chr14,73434000,73435000,600215,False
chr7,156743000,156744000,1862920,False
chr13,36634000,36635000,503449,False
chr12,70111000,70112000,438736,False
chr10,47510000,47511000,219519,False
chr18,44756000,44757000,846472,False
chr20,7807000,7808000,1105003,False
chr1,72541000,72542000,61708,False
chrX,1080000,1081000,2060062,False
chr18,63556000,63557000,861042,False
chr9,123913000,123914000,2046144,False
chr1,191498000,191499000,135903,False
chrX,68784000,68785000,2094589,False
chr10,14103000,14104000,195791,False
chr12,20929000,20930000,401971,False
chr11,92304000,92305000,352100,False
chr6,65785000,65786000,1667398,False
chrX,1293000,1294000,2060241,False
chr15,39060000,39061000,638327,False
chr3,158467000,158468000,1322510,False
chr6,46893000,46894000,1656452,False
chr15,80500000,80501000,673322,False
chr2,181459000,181460000,1050864,False
chr3,75343000,75344000,1264165,False
chr2,148576000,148577000,1025512,False
chr11,77046000,77047000,341677,True
chr2,239969000,239970000,1096652,False
chr11,31246000,31247000,310221,False
chr12,9713000,9714000,393419,False
chrY,8141000,8142000,2136135,False
chr5,76257000,76258000,1535914,False
chr4,72319000,72320000,1400630,False
chr10,33499000,33500000,211733,False
chr12,40224000,40225000,414342,True
chr12,5752000,5753000,390180,False
chr17,68791000,68792000,804766,False
chr9,116218000,116219000,2040251,False
chr13,75766000,75767000,530906,False
chr12,127229000,127230000,484239,False
chr1,66872000,66873000,57408,False
chr2,67494000,67495000,971485,False
chr6,137976000,137977000,1718498,False
chr12,23010000,23011000,403465,False
chr7,44626000,44627000,1781387,False
chr2,238165000,238166000,1095056,False
chr11,13362000,13363000,298021,False
chr8,15750000,15751000,1875456,False
chr10,83845000,83846000,246762,False
chr5,130600000,130601000,1575458,False
chr10,130433000,130434000,284545,False
chr3,56365000,56366000,1249321,False
chr18,62058000,62059000,859719,False
chrX,115237000,115238000,2114919,False
chr5,75210000,75211000,1535128,False
chr8,23462000,23463000,1881659,False
chr11,32709000,32710000,311401,False
chr13,52673000,52674000,516339,False
chr1,203305000,203306000,145367,True
chr3,12970000,12971000,1214841,False
chr4,48907000,48908000,1387682,True
chr13,85899000,85900000,538011,False
chr1,159398000,159399000,109819,False
chr10,35707000,35708000,213732,False
chr17,58906000,58907000,795711,False
chr2,41572000,41573000,951076,False
chr5,139812000,139813000,1583407,False
chr1,31685000,31686000,27205,False
chr11,73508000,73509000,338485,False
chr20,13373000,13374000,1109293,False
chr10,24710000,24711000,204389,False
chr6,25071000,25072000,1637460,False
chr10,128306000,128307000,282861,False
chr10,68072000,68073000,233678,False
chr19,2730000,2731000,874706,False
chrX,41473000,41474000,2083158,False
chr7,68579000,68580000,1794364,False
chr3,126737000,126738000,1296943,False
chr18,56071000,56072000,854981,False
chr8,17263000,17264000,1876471,False
chr7,28218000,28219000,1767765,False
chr5,116858000,116859000,1565465,False
chr7,140348000,140349000,1850242,False
chr22,25969000,25970000,1183638,False
chr14,35509000,35510000,571608,False
chr20,17629000,17630000,1112507,False
chr1,88433000,88434000,73468,False
chr9,97194000,97195000,2025223,False
chr16,29107000,29108000,713260,True
chr17,3124000,3125000,753717,False
