chrom,start,end,build_region_index,peak_k562:ctcf
chr9,6195000,6196000,1977756,True
chr19,4246000,4247000,876102,True
chr7,140518000,140519000,1850386,True
chr16,73168000,73169000,736580,False
chr20,55227000,55228000,1141521,False
chr6,39077000,39078000,1649656,False
chr7,129403000,129404000,1840732,False
chr12,118226000,118227000,476598,False
chr7,77283000,77284000,1800898,False
chr12,93570000,93571000,455727,True
chr4,77606000,77607000,1404747,True
chr22,35310000,35311000,1191536,False
chr9,97012000,97013000,2025074,False
chr17,33340000,33341000,774866,True
chr4,22893000,22894000,1370805,False
chr12,103352000,103353000,463499,False
chr8,70663000,70664000,1915567,False
chr12,16048000,16049000,398655,False
chr4,133496000,133497000,1443017,False
chr1,214245000,214246000,154939,False
chr1,77515000,77516000,65065,True
chr9,129841000,129842000,2051563,True
chr17,37543000,37544000,778208,False
chr16,30953000,30954000,714699,True
chr1,205791000,205792000,147710,True
chr6,35737000,35738000,1646558,True
chr5,149890000,149891000,1591535,False
chr8,17596000,17597000,1876755,True
chr4,153811000,153812000,1457772,True
chr15,83572000,83573000,675890,True
chr17,16880000,16881000,764879,True
chr3,166125000,166126000,1327703,False
chr6,120666000,120667000,1705036,False
chrX,41137000,41138000,2082892,True
chr2,29982000,29983000,942140,False
chr8,142738000,142739000,1970970,True
chr7,25148000,25149000,1764998,True
chr20,29056000,29057000,1119572,False
chr3,30779000,30780000,1228240,True
chr3,119812000,119813000,1291180,True
chr1,59427000,59428000,51040,False
chr22,25152000,25153000,1182924,False
chr13,19864000,19865000,489880,True
chr2,101586000,101587000,992779,False
chr16,21102000,21103000,707156,True
chr22,26377000,26378000,1183960,True
chr12,131448000,131449000,487501,False
chr1,208055000,208056000,149632,True
chr16,1865000,1866000,692295,False
chr6,132393000,132394000,1713709,False
chr9,8918000,8919000,1979689,False
chr8,99564000,99565000,1936839,True
chr20,55134000,55135000,1141466,False
chr11,70119000,70120000,335567,False
chr17,53286000,53287000,791282,False
chr14,51310000,51311000,581757,False
chr1,236158000,236159000,173828,True
chr19,21647000,21648000,890898,False
chr3,140145000,140146000,1307888,True
chr1,19338000,19339000,15936,True
chr3,142210000,142211000,1309631,True
chr9,25298000,25299000,1990379,False
chr5,76684000,76685000,1536308,False
chr11,27506000,27507000,307856,True
chr11,84310000,84311000,347038,False
chr10,80744000,80745000,244920,False
chr5,173480000,173481000,1609185,False
chr19,48720000,48721000,910218,True
chr3,9353000,9354000,1211602,True
chr5,78414000,78415000,1537787,False
chr19,5548000,5549000,877299,True
chr19,9864000,9865000,880907,False
chr6,34888000,34889000,1645758,True
chr1,192879000,192880000,136964,True
chr17,69432000,69433000,805303,False
chr3,101684000,101685000,1278121,True
chr11,12282000,12283000,297058,True
chr14,99549000,99550000,620356,False
chr1,48698000,48699000,42123,False
chr5,35066000,35067000,1508184,False
chr19,21475000,21476000,890771,False
chr6,66331000,66332000,1667682,False
chr1,148371000,148372000,101079,True
chr7,148636000,148637000,1856177,True
chr7,68408000,68409000,1794233,False
chr3,123015000,123016000,1293697,True
chr18,50449000,50450000,851199,True
chr19,5138000,5139000,876922,True
chr12,100672000,100673000,461447,True
chr17,2244000,2245000,752963,True
chr5,158032000,158033000,1597676,False
chr6,135909000,135910000,1716678,True
chr12,99964000,99965000,460836,False
chr5,104164000,104165000,1556396,True
chr3,38763000,38764000,1234539,True
chr13,73059000,73060000,528697,True
chr10,101413000,101414000,261193,False
chr8,137464000,137465000,1966576,False
chr7,6707000,6708000,1751242,True
chr3,189632000,189633000,1346829,False
chr4,40926000,40927000,1382723,False
chr5,139273000,139274000,1582899,True
chr5,116501000,116502000,1565147,False
chr20,44139000,44140000,1131482,False
chr7,33600000,33601000,1772266,False
chr12,119855000,119856000,477895,False
chr1,203306000,203307000,145368,True
chr6,154615000,154616000,1732084,True
chr19,44832000,44833000,906770,False
chr1,184559000,184560000,130907,False
chr12,94172000,94173000,456274,True
chr13,30112000,30113000,498162,False
chr15,51369000,51370000,648265,False
chr1,216777000,216778000,156854,False
chr4,171947000,171948000,1469440,False
chr2,229690000,229691000,1087605,False
chr1,207005000,207006000,148727,True
chr17,73429000,73430000,808658,True
chr1,219837000,219838000,159303,True
chr8,38557000,38558000,1893144,True
chr15,68949000,68950000,663048,False
chr2,79876000,79877000,980872,True
chr15,27690000,27691000,630475,True
chr9,130220000,130221000,2051924,True
chrX,40316000,40317000,2082233,False
chr5,144680000,144681000,1587494,False
chr13,97225000,97226000,545991,False
chr15,41402000,41403000,640416,True
chr2,109736000,109737000,998847,True
chr7,888000,889000,1746082,False
chr10,22637000,22638000,202707,False
chr14,100268000,100269000,621031,False
chr6,66690000,66691000,1667850,False
chr5,31343000,31344000,1505026,False
chr2,216417000,216418000,1076992,True
chr2,433000,434000,918521,False
chr1,48738000,48739000,42155,False
chr13,82481000,82482000,535782,False
chr4,53439000,53440000,1389187,False
chr9,76991000,76992000,2008640,False
chr16,72995000,72996000,736419,True
chr10,49076000,49077000,220521,False
chr6,42454000,42455000,1652559,False
chr2,199346000,199347000,1063719,False
chr6,106944000,106945000,1694360,False
chr15,58852000,58853000,654043,True
chr11,75979000,75980000,340698,False
chr7,3309000,3310000,1748352,True
chr8,12836000,12837000,1873676,False
chr17,44947000,44948000,784539,True
chr2,113055000,113056000,1000993,False
chr2,230798000,230799000,1088545,True
chr8,20543000,20544000,1879251,True
chr9,109817000,109818000,2034756,False
chr10,103334000,103335000,262951,True
chr14,105575000,105576000,625862,False
chrX,51494000,51495000,2089079,True
chr20,3621000,3622000,1101678,True
chr3,132407000,132408000,1301704,False
chr3,143109000,143110000,1310422,False
chr1,59788000,59789000,51356,False
chr9,71210000,71211000,2004385,True
chr17,81674000,81675000,816330,False
chr10,15396000,15397000,196941,False
chr1,183703000,183704000,130140,True
chr2,41853000,41854000,951274,True
chr1,104777000,104778000,85803,False
chr10,18914000,18915000,199834,False
chr5,41968000,41969000,1513896,True
chr8,102407000,102408000,1939400,True
chr19,48772000,48773000,910264,False
chr7,27426000,27427000,1767045,False
chr3,185777000,185778000,1343480,True
chr8,142653000,142654000,1970889,True
chr6,63187000,63188000,1665804,False
chr13,108353000,108354000,554597,False
chr1,235954000,235955000,173636,True
chr3,132659000,132660000,1301914,True
chrX,20442000,20443000,2072328,True
chr11,34220000,34221000,312761,False
chr15,38064000,38065000,637549,False
chr3,130155000,130156000,1300022,True
chr1,17661000,17662000,14449,True
chr13,99042000,99043000,547628,False
chr20,35145000,35146000,1123887,True
chr10,129899000,129900000,284135,False
chr17,45019000,45020000,784605,True
chr8,104366000,104367000,1940996,True
chr8,129891000,129892000,1960723,True
chr7,77507000,77508000,1801113,False
chr5,130720000,130721000,1575530,True
chr12,632000,633000,385705,False
chr9,24311000,24312000,1989938,False
chr4,73341000,73342000,1401336,True
chr1,79296000,79297000,66495,False
chr3,108442000,108443000,1282996,False
chr7,1504000,1505000,1746666,True
chr3,24640000,24641000,1223912,True
chr8,141534000,141535000,1969865,False
chr3,71380000,71381000,1261104,True
chr7,97872000,97873000,1816236,True
chr10,46440000,46441000,218858,False
chr15,33392000,33393000,634196,True
chr17,8430000,8431000,758201,True
chr9,126599000,126600000,2048579,True
chr4,168491000,168492000,1467077,False
chr7,100725000,100726000,1818744,True
chr12,69711000,69712000,438400,False
chr14,102924000,102925000,623408,True
chr10,71501000,71502000,236765,True
chr15,71492000,71493000,665369,False
chrX,44028000,44029000,2084572,False
chr2,213934000,213935000,1075019,True
chr2,217564000,217565000,1078019,False
chr10,79562000,79563000,244002,True
chr14,72920000,72921000,599742,True
chr15,61531000,61532000,656312,True
chr6,139996000,139997000,1720320,True
chr17,41615000,41616000,781552,True
chr1,202235000,202236000,144377,False
chr2,233142000,233143000,1090621,False
chr14,80380000,80381000,605818,False
chr12,70402000,70403000,438975,True
chr20,18779000,18780000,1113511,True
chr5,88729000,88730000,1545373,True
chr1,24542000,24543000,20713,True
chr2,28493000,28494000,940830,True
chr3,59986000,59987000,1252375,False
chr1,169876000,169877000,118584,False
chr14,50289000,50290000,580851,False
chr7,81771000,81772000,1804465,False
chr10,48579000,48580000,220100,False
chr2,48937000,48938000,957673,False
chr17,79808000,79809000,814561,True
chr19,1546000,1547000,873575,True
chr15,67906000,67907000,662082,True
chr3,127305000,127306000,1297440,False
chr10,15572000,15573000,197105,False
chr4,80125000,80126000,1406657,True
chr21,34908000,34909000,1165228,False
chr17,69394000,69395000,805268,True
chr4,58007000,58008000,1392743,False
chr7,78242000,78243000,1801785,False
chr7,50468000,50469000,1785910,True
chr11,77388000,77389000,341985,True
chr1,200376000,200377000,142646,False
chr6,162116000,162117000,1738443,False
chr6,134458000,134459000,1715422,True
chr22,19134000,19135000,1177816,True
chr15,90320000,90321000,681126,True
chr15,94487000,94488000,684636,False
chrX,79459000,79460000,2100084,False
chr13,99886000,99887000,548411,False
chr6,14192000,14193000,1628235,True
chr6,29355000,29356000,1640922,True
chr2,227325000,227326000,1085965,True
chr14,24849000,24850000,563930,False
chr7,45990000,45991000,1782515,False
chr4,85490000,85491000,1410675,True
chr15,88009000,88010000,679066,True
chr1,51969000,51970000,44509,False
chr20,58892000,58893000,1144577,True
chr22,40457000,40458000,1196283,True
chr14,53285000,53286000,583448,True
chr22,21000000,21001000,1179523,True
chr2,164478000,164479000,1037157,False
chr4,165425000,165426000,1465225,True
chr6,37637000,37638000,1648359,True
chr9,107425000,107426000,2032685,True
chr20,53547000,53548000,1140094,True
chr20,23166000,23167000,1117050,False
chr11,70824000,70825000,336200,False
chr9,127743000,127744000,2049641,True
chr5,175797000,175798000,1611208,True
chr12,95439000,95440000,457429,True
chr21,36792000,36793000,1166918,False
chr5,150515000,150516000,1592117,False
chr3,23429000,23430000,1222827,False
chr2,156458000,156459000,1031113,True
chr4,147925000,147926000,1453148,True
chr4,81467000,81468000,1407587,True
chr2,76198000,76199000,978837,True
chr11,40960000,40961000,317217,False
chr9,5839000,5840000,1977476,True
chr17,17613000,17614000,765553,True
chr4,170374000,170375000,1468623,True
chr14,66477000,66478000,594216,True
chr9,11088000,11089000,1980727,False
chr2,170766000,170767000,1041999,True
chr4,152460000,152461000,1456587,True
chr11,71349000,71350000,336572,False
chr5,5340000,5341000,1486514,True
chr17,35357000,35358000,776456,False
chr11,100077000,100078000,357588,False
chr7,100100000,100101000,1818189,True
chr20,50411000,50412000,1137293,True
chr10,125961000,125962000,280939,True
chr7,1182000,1183000,1746363,False
chr9,134326000,134327000,2055736,True
chr4,20072000,20073000,1369098,False
chr2,15010000,15011000,929868,False
chr3,183115000,183116000,1341082,True
chr18,63073000,63074000,860608,True
chr5,167964000,167965000,1604371,False
chr9,110015000,110016000,2034930,False
chr19,50705000,50706000,911969,True
chr13,20189000,20190000,490153,True
chr4,135814000,135815000,1444265,False
chr1,4317000,4318000,3205,True
chr5,66830000,66831000,1529331,True
chr3,55485000,55486000,1248625,True
chr14,66335000,66336000,594113,False
chr15,67442000,67443000,661647,False
chr9,114264000,114265000,2038614,True
chr7,142854000,142855000,1852369,True
chr1,118140000,118141000,96544,True
chr18,21388000,21389000,829793,False
chr8,73224000,73225000,1917419,True
chr6,21205000,21206000,1634307,False
chr3,101693000,101694000,1278130,True
chr11,5370000,5371000,291385,True
chr14,85217000,85218000,608807,False
chr14,36605000,36606000,572520,True
chr7,8055000,8056000,1752337,False
chr20,33562000,33563000,1122413,True
chr9,76658000,76659000,2008346,True
chr2,27217000,27218000,939655,True
chr1,198531000,198532000,141104,False
chr1,47609000,47610000,41251,False
chr7,43289000,43290000,1780169,False
chr2,156970000,156971000,1031504,False
chr3,193511000,193512000,1349778,False
chr5,11451000,11452000,1491410,False
chr2,203035000,203036000,1066961,False
chr1,5110000,5111000,3771,False
chr10,55501000,55502000,224886,True
chr2,146745000,146746000,1024185,False
chr11,45852000,45853000,320694,True
chr7,106534000,106535000,1823618,True
chr7,44112000,44113000,1780915,True
chr14,56706000,56707000,586313,False
chr5,35030000,35031000,1508151,True
chr4,31736000,31737000,1376620,False
chr6,166042000,166043000,1741298,False
chr13,49821000,49822000,513988,True
chr16,24800000,24801000,710096,True
chr7,70193000,70194000,1795715,True
chr6,157219000,157220000,1734269,True
chr17,4815000,4816000,755134,True
chr6,156313000,156314000,1733457,False
chr8,95183000,95184000,1933146,True
chr14,89939000,89940000,612208,True
chr6,26094000,26095000,1638368,False
chr3,64430000,64431000,1255887,False
chr7,111275000,111276000,1827140,False
chr9,94554000,94555000,2022902,True
chr13,50106000,50107000,514240,False
chr14,106277000,106278000,626392,True
chr22,12602000,12603000,1175876,True
chr5,105031000,105032000,1556882,False
chr16,57600000,57601000,725465,True
chr16,30793000,30794000,714558,True
chr15,65286000,65287000,659634,True
chr14,69256000,69257000,596617,False
chr8,64628000,64629000,1910666,False
chr12,80395000,80396000,446251,False
chr7,73231000,73232000,1797942,False
chr8,8809000,8810000,1870559,False
chr11,26310000,26311000,306966,False
chr1,203969000,203970000,145987,False
chr3,133706000,133707000,1302746,True
chr11,65354000,65355000,331235,True
chr11,18255000,18256000,301873,False
chr1,88036000,88037000,73180,False
chr3,193190000,193191000,1349544,True
chrX,13473000,13474000,2067541,True
chr22,37288000,37289000,1193348,True
chr15,56098000,56099000,651681,True
chr5,30095000,30096000,1504162,False
chr3,190226000,190227000,1347355,False
chr3,139280000,139281000,1307195,True
chr3,128621000,128622000,1298649,False
chr1,74313000,74314000,62653,False
chr10,28185000,28186000,207128,False
chr10,119930000,119931000,275735,False
chr6,10415000,10416000,1624765,True
chr2,157751000,157752000,1032075,True
chr17,76453000,76454000,811405,True
chr12,85803000,85804000,449858,False
chrX,54786000,54787000,2090728,True
chr9,118332000,118333000,2041768,False
chr19,43179000,43180000,905399,True
chr1,233040000,233041000,170986,True
chr8,5381000,5382000,1868613,False
chr6,16128000,16129000,1630038,True
chr8,133309000,133310000,1963460,True
chr19,9189000,9190000,880415,False
chr2,233314000,233315000,1090779,False
chr22,31780000,31781000,1188782,True
chr1,57611000,57612000,49519,False
chr4,107009000,107010000,1425305,False
chr7,45080000,45081000,1781808,True
chr14,57404000,57405000,586886,False
chr1,85099000,85100000,70784,False
chr19,16969000,16970000,887097,True
chr8,42156000,42157000,1895985,False
chr2,118003000,118004000,1003783,True
chr10,72274000,72275000,237504,True
chr4,117444000,117445000,1432558,False
chr12,122416000,122417000,480224,False
chr10,23517000,23518000,203459,False
chr4,139619000,139620000,1446932,True
chr1,8359000,8360000,6617,True
chr18,52904000,52905000,852874,True
chr13,26862000,26863000,495462,False
chr6,17374000,17375000,1631177,False
chr11,2566000,2567000,289329,True
chr8,86468000,86469000,1926667,False
chr2,88010000,88011000,985967,True
chr20,52438000,52439000,1139177,True
chr6,130365000,130366000,1712040,True
chr4,10949000,10950000,1362980,False
chr1,176691000,176692000,124142,True
chr3,112723000,112724000,1286031,False
chr9,97552000,97553000,2025524,True
chr2,240497000,240498000,1097095,True
chr9,101185000,101186000,2028574,False
chr16,65630000,65631000,730155,True
chr6,96469000,96470000,1687439,True
chr17,43046000,43047000,782864,False
chr5,181207000,181208000,1615740,True
chr12,100877000,100878000,461606,True
chr19,302000,303000,872394,False
chr15,39509000,39510000,638716,False
chr11,18691000,18692000,302249,True
chr3,186908000,186909000,1344506,True
chr1,89381000,89382000,74251,True
chr11,33265000,33266000,311882,False
chr7,95582000,95583000,1814488,False
chr8,30102000,30103000,1887202,False
chr4,151683000,151684000,1455931,False
chr12,90840000,90841000,453423,False
chr16,70346000,70347000,734323,True
chr1,22237000,22238000,18583,True
chr4,167145000,167146000,1466286,False
chr20,61491000,61492000,1146753,False
chr21,45133000,45134000,1173994,False
chr4,4505000,4506000,1357860,False
chr9,126793000,126794000,2048763,False
chr13,109699000,109700000,555632,True
chr11,39410000,39411000,316446,False
chr14,77325000,77326000,603653,True
chr14,99035000,99036000,619896,True
chr13,97111000,97112000,545890,False
chr17,73172000,73173000,808414,True
chr5,124104000,124105000,1570536,False
chr2,220928000,220929000,1080865,False
chr10,109215000,109216000,266895,False
chr21,38126000,38127000,1168117,True
chr4,28930000,28931000,1375088,False
chr10,102750000,102751000,262412,False
chr3,155978000,155979000,1320456,True
chr20,45431000,45432000,1132674,False
chr2,374000,375000,918473,False
chr1,45522000,45523000,39460,True
chr1,233131000,233132000,171065,False
chr10,103301000,103302000,262925,False
chr5,138611000,138612000,1582279,True
chr20,9730000,9731000,1106538,False
chr22,43160000,43161000,1198732,False
chr4,1910000,1911000,1355581,True
chr1,245675000,245676000,181590,False
chr20,4830000,4831000,1102762,False
chr5,27124000,27125000,1502225,True
chr1,91244000,91245000,75772,True
chr3,134251000,134252000,1303207,False
chr16,89222000,89223000,750237,False
chr6,30523000,30524000,1641900,False
chr17,50200000,50201000,789016,True
chr8,105457000,105458000,1941834,False
chr1,178963000,178964000,125973,False
chr11,8758000,8759000,293886,True
chr16,50229000,50230000,719361,True
chr19,5964000,5965000,877680,False
chr17,4889000,4890000,755196,True
chr6,15466000,15467000,1629438,False
chr14,30562000,30563000,567362,True
chr1,197693000,197694000,140393,True
chr8,6779000,6780000,1869557,True
chr4,86165000,86166000,1411177,False
chr7,41078000,41079000,1778355,False
chr16,46929000,46930000,716690,True
chr3,46373000,46374000,1240879,True
chr10,75098000,75099000,240077,True
chrX,33261000,33262000,2078724,False
chr20,21236000,21237000,1115541,True
chr3,25897000,25898000,1224883,True
chr2,241508000,241509000,1097994,True
chr2,205696000,205697000,1069116,True
chr1,71270000,71271000,60853,False
chr1,45341000,45342000,39292,True
chr7,40489000,40490000,1777875,True
chr20,6157000,6158000,1103915,True
chr5,113401000,113402000,1562960,False
chr5,157180000,157181000,1596930,False
chr1,45750000,45751000,39665,True
chr1,154983000,154984000,106127,True
chr22,21937000,21938000,1180140,False
chr16,67146000,67147000,731504,True
chr3,63393000,63394000,1255002,False
chr4,71621000,71622000,1400203,False
chr3,151779000,151780000,1317041,False
chr10,98677000,98678000,258906,True
chr20,16388000,16389000,1111568,False
chr2,120007000,120008000,1005417,True
chr12,105053000,105054000,464997,True
chr12,92570000,92571000,454820,True
chr22,23838000,23839000,1181781,True
chr17,7688000,7689000,757541,True
chr1,159079000,159080000,109590,True
chr14,101336000,101337000,621972,False
chr5,149995000,149996000,1591631,False
chr12,102884000,102885000,463200,False
chr10,49001000,49002000,220455,True
chr2,12547000,12548000,928334,True
chr4,105332000,105333000,1424123,False
chr5,139478000,139479000,1583099,True
chr8,143281000,143282000,1971454,True
chr1,194549000,194550000,138243,False
chr13,29200000,29201000,497428,False
chr2,79987000,79988000,980947,False
chr10,103945000,103946000,263528,False
chr6,28658000,28659000,1640405,True
chr4,70857000,70858000,1399641,False
chr12,84626000,84627000,449046,False
chr17,39261000,39262000,779435,True
